feat_56,feat_7,feat_69,feat_12,feat_70,feat_51,feat_20,feat_21,feat_61,feat_23,target
0,0,0,0,1,0,0,0,1,0,Class_6
0,0,21,0,0,0,0,0,0,0,Class_8
0,0,0,1,0,0,2,0,0,0,Class_9
2,0,0,0,0,0,0,0,0,0,Class_3
2,2,12,1,2,0,4,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_4
2,0,0,0,3,0,1,0,0,0,Class_9
0,0,0,1,1,0,0,1,7,0,Class_6
0,0,1,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_3
0,2,32,1,1,0,8,0,0,0,Class_8
0,0,0,0,1,0,1,0,0,0,Class_8
0,0,0,0,0,0,1,0,0,0,Class_8
0,0,0,0,4,0,1,0,0,0,Class_6
0,0,2,0,1,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_7
2,0,0,0,0,0,0,1,5,0,Class_6
0,0,0,0,0,0,1,2,0,0,Class_6
0,0,0,0,1,0,0,1,4,0,Class_6
0,0,0,0,1,0,1,0,0,0,Class_6
0,0,0,0,0,0,0,1,0,0,Class_2
0,0,1,1,2,0,0,1,0,0,Class_8
0,0,21,0,1,0,1,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,2,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
9,0,0,0,0,0,1,0,0,0,Class_7
0,1,1,0,3,0,0,0,0,0,Class_8
2,0,0,0,2,0,0,1,0,0,Class_2
0,1,0,0,2,0,1,0,1,0,Class_6
0,1,0,0,1,0,1,0,0,0,Class_7
0,0,0,0,2,0,0,0,0,0,Class_4
0,0,1,0,0,0,0,0,0,4,Class_8
0,0,0,0,2,0,2,0,0,0,Class_8
0,0,0,0,3,0,0,0,0,0,Class_4
0,1,28,0,1,0,3,0,0,0,Class_8
0,0,1,0,0,0,3,0,0,0,Class_8
0,0,1,0,0,0,0,0,1,0,Class_6
4,2,2,1,0,0,1,1,0,9,Class_7
0,0,0,0,3,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,3,1,0,2,0,0,0,Class_8
2,0,0,0,1,0,0,0,1,0,Class_6
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,1,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,19,0,0,0,0,0,0,0,Class_8
1,0,0,0,0,0,0,0,0,0,Class_6
0,1,0,0,1,1,1,5,5,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,1,0,0,0,1,0,Class_6
0,0,0,0,0,0,0,0,1,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
1,0,0,0,0,0,0,1,0,0,Class_6
0,0,0,2,7,0,0,3,0,1,Class_2
0,0,0,0,3,0,1,0,0,0,Class_7
0,0,11,0,0,0,0,0,0,0,Class_8
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,3,Class_2
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,1,0,0,0,0,0,0,1,Class_1
0,3,0,1,2,0,1,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,1,12,2,0,0,4,0,0,0,Class_8
0,0,0,0,0,0,0,0,2,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,1,1,2,0,0,0,3,0,0,Class_6
2,0,0,0,0,0,0,2,2,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,3,0,0,0,0,0,Class_3
0,1,1,0,6,0,1,0,0,0,Class_3
0,0,2,0,1,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_9
1,0,0,0,12,0,3,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,1,0,0,0,0,0,Class_1
7,0,0,0,6,0,1,0,0,0,Class_2
1,0,0,0,3,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,6,0,Class_6
0,0,0,0,5,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,1,Class_2
0,0,1,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,1,Class_8
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
1,0,0,0,0,0,0,0,1,1,Class_6
0,0,0,0,2,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_2
2,0,0,0,1,0,1,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_5
2,0,0,0,2,0,0,0,3,0,Class_6
1,3,0,0,16,0,8,0,0,0,Class_7
1,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,1,0,0,0,0,Class_6
0,0,0,1,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,1,2,10,0,4,1,2,1,Class_7
0,0,0,1,0,0,0,0,0,0,Class_9
0,1,0,0,0,0,0,0,0,0,Class_2
0,0,3,0,0,0,1,0,3,1,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,1,0,2,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,8,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,1,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_8
0,1,0,0,0,0,0,2,1,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,1,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,1,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_9
8,0,0,0,12,0,3,0,0,0,Class_3
0,0,1,0,0,0,0,0,0,0,Class_8
0,0,0,0,2,0,0,0,0,0,Class_3
1,0,0,0,1,0,0,0,0,0,Class_2
0,1,3,0,0,1,0,0,0,0,Class_9
0,0,0,0,2,0,0,0,0,0,Class_2
0,0,0,0,2,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
8,0,0,0,6,4,5,6,0,2,Class_8
0,0,0,0,1,0,0,0,0,0,Class_3
0,0,0,0,6,0,1,0,0,0,Class_6
0,0,0,0,1,0,1,0,0,0,Class_6
0,0,1,0,0,0,1,0,0,0,Class_6
0,2,0,0,5,0,2,0,0,0,Class_1
9,0,0,0,0,0,0,0,0,0,Class_3
0,1,1,0,1,0,1,1,0,0,Class_7
0,2,12,0,0,0,0,0,0,0,Class_8
0,0,1,1,3,0,1,0,0,0,Class_9
0,0,0,0,1,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,2,1,0,0,1,0,0,0,Class_6
20,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,1,3,0,0,2,0,0,Class_3
0,0,0,0,2,0,1,0,0,0,Class_6
1,0,0,0,8,0,1,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,3,Class_3
0,0,0,0,2,0,1,1,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,1,3,0,1,0,0,0,Class_8
0,0,0,0,0,0,5,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,1,0,1,0,3,2,0,0,Class_6
3,0,1,0,3,0,1,0,0,0,Class_9
1,1,1,0,0,0,0,1,7,0,Class_6
0,0,1,0,0,0,1,0,0,0,Class_3
0,1,4,0,0,0,1,0,0,0,Class_8
0,0,0,0,3,0,0,0,0,0,Class_6
0,1,0,0,0,0,1,0,0,0,Class_1
0,0,0,0,1,0,0,1,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,3,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,1,0,Class_2
1,0,1,0,0,0,1,1,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,1,Class_4
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,2,0,1,0,0,0,Class_3
0,4,1,0,0,0,7,0,1,1,Class_1
0,0,0,0,0,0,1,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,1,1,0,0,0,0,0,2,Class_8
0,0,0,0,0,0,0,0,2,0,Class_6
0,0,7,0,8,0,2,0,0,0,Class_8
1,0,0,0,5,0,0,0,0,1,Class_6
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,1,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,2,0,Class_6
0,0,0,0,0,0,0,1,3,0,Class_6
0,6,0,3,14,1,13,0,1,13,Class_7
0,0,1,0,0,0,0,0,0,0,Class_6
0,0,0,1,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,4,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,1,Class_2
1,0,21,0,2,0,6,0,0,2,Class_8
0,0,0,0,2,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,2,1,0,0,1,2,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,1,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_3
2,3,0,0,11,0,1,0,0,1,Class_7
0,0,3,0,2,0,5,0,0,0,Class_6
0,0,1,0,0,0,0,0,0,0,Class_8
0,0,0,0,1,0,0,2,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_5
2,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_6
0,0,0,0,6,0,8,0,0,0,Class_8
0,0,0,1,3,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,2,0,0,0,0,0,Class_2
0,0,0,0,4,0,1,0,0,0,Class_6
0,0,0,0,3,0,0,0,0,0,Class_2
0,0,0,0,3,0,1,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,1,0,0,0,0,0,Class_1
0,0,0,0,2,0,0,0,0,0,Class_9
0,0,0,1,4,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_5
1,1,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,1,Class_6
0,0,0,0,0,0,0,2,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,2,0,2,0,1,0,Class_6
0,0,0,1,1,0,1,0,0,0,Class_4
0,0,0,0,1,0,0,0,0,0,Class_3
0,0,0,1,2,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,13,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_6
13,0,0,6,0,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_1
0,0,0,0,0,0,0,0,0,0,Class_6
0,1,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,1,1,0,0,0,2,0,Class_6
1,0,20,1,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
42,0,0,0,4,0,1,0,0,0,Class_2
1,0,0,0,0,2,0,0,1,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,5,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,1,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,1,1,0,0,0,1,0,0,4,Class_8
0,0,0,0,2,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,1,1,1,0,0,1,0,0,0,Class_1
0,0,0,0,0,0,0,0,2,0,Class_2
0,0,0,0,0,0,0,0,1,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_4
0,1,0,0,1,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,10,0,0,0,0,0,Class_4
0,1,0,1,1,0,3,0,0,0,Class_6
0,0,2,0,1,0,1,0,0,0,Class_8
1,0,0,0,0,0,0,2,5,0,Class_6
0,0,1,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,1,0,0,0,0,4,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_8
2,0,0,2,0,0,0,0,0,2,Class_6
5,2,0,1,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,14,0,2,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,1,0,Class_6
1,0,0,0,19,0,5,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,2,0,1,0,0,0,Class_6
0,0,0,0,1,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_9
0,2,2,0,0,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,2,0,0,0,0,1,Class_3
0,0,0,0,1,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_5
1,0,0,0,0,0,1,3,1,0,Class_6
0,0,1,0,0,0,0,0,0,0,Class_3
0,0,0,0,2,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_5
1,2,0,0,1,0,0,1,2,0,Class_6
1,0,0,0,0,0,0,0,0,0,Class_6
0,0,36,0,0,0,0,0,0,0,Class_8
1,0,0,0,4,0,1,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_8
0,1,0,0,0,0,2,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
1,0,0,0,2,0,0,0,0,0,Class_2
0,0,0,0,5,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,1,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,2,0,0,0,0,0,3,Class_6
0,0,0,2,0,0,1,0,0,1,Class_7
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,1,0,1,0,0,2,Class_9
0,0,1,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,9,0,0,0,7,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,2,4,1,Class_6
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,1,0,0,0,0,0,Class_3
0,0,0,0,3,0,0,0,0,0,Class_3
0,0,0,0,0,3,1,0,0,0,Class_9
0,0,0,0,0,0,0,1,0,0,Class_2
0,0,0,0,0,0,1,0,0,0,Class_9
0,0,0,0,1,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,1,Class_2
0,0,38,0,0,0,0,0,0,0,Class_8
0,0,0,1,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,1,0,0,0,0,0,Class_3
0,1,7,4,2,0,5,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_3
1,0,0,0,0,1,0,1,2,0,Class_6
0,0,0,0,0,0,0,2,0,0,Class_2
0,0,0,0,2,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,5,0,1,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,2,1,2,0,0,0,0,0,Class_4
0,0,2,0,0,0,0,0,0,0,Class_8
0,3,0,0,2,0,2,0,0,1,Class_8
1,0,0,1,1,0,1,1,0,0,Class_2
0,0,0,0,0,0,1,0,3,0,Class_6
0,0,0,0,0,1,0,0,0,0,Class_6
0,0,0,0,2,0,0,0,0,0,Class_2
0,1,0,0,1,0,1,0,0,0,Class_8
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,2,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,1,0,0,0,0,1,Class_9
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,3,0,0,0,1,0,Class_6
0,2,0,5,2,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,1,2,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_7
0,0,0,0,1,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,1,0,0,Class_2
1,0,0,0,0,0,0,1,5,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
0,1,25,0,3,0,1,0,0,5,Class_8
2,0,1,0,11,0,7,0,1,16,Class_7
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,3,0,0,0,0,1,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_5
1,0,1,1,5,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_6
1,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,1,0,1,0,4,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_9
0,1,0,0,3,0,1,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,1,0,Class_6
0,0,0,0,0,0,0,3,0,0,Class_2
0,1,4,0,3,0,0,0,0,4,Class_6
1,0,0,0,3,0,1,4,3,0,Class_6
0,0,0,1,2,0,1,0,0,0,Class_6
0,0,31,0,0,0,1,0,0,0,Class_8
0,0,0,0,2,0,0,0,0,0,Class_8
0,0,0,1,1,0,0,0,0,0,Class_9
0,0,0,0,3,0,0,0,0,0,Class_2
0,0,0,2,1,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_6
0,0,0,1,0,0,1,0,0,0,Class_3
3,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_6
0,3,0,0,1,0,0,0,0,1,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,1,1,1,0,1,0,0,0,Class_5
3,0,0,0,1,0,0,0,0,0,Class_2
1,0,1,0,8,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,0,0,0,1,0,0,0,Class_3
1,0,0,0,3,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,5,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_7
0,0,0,0,2,0,0,0,0,0,Class_6
1,0,0,0,3,0,0,0,0,0,Class_4
0,1,0,0,4,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_2
1,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_6
0,2,3,1,1,0,1,0,0,5,Class_6
0,0,31,0,0,0,2,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,1,0,0,0,1,0,0,0,Class_7
0,3,3,0,1,0,1,0,0,0,Class_1
1,0,0,0,1,0,0,0,1,2,Class_6
0,0,0,0,1,0,0,0,0,1,Class_7
0,4,4,0,3,0,7,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,1,0,0,Class_3
0,0,0,1,2,0,0,1,0,1,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
1,0,0,0,1,0,0,0,0,0,Class_9
1,0,0,0,2,0,0,0,0,0,Class_7
1,1,27,0,0,0,11,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,1,2,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
0,6,0,0,5,0,1,0,0,1,Class_1
2,0,0,0,3,0,1,0,0,0,Class_9
3,0,0,0,0,0,0,0,0,0,Class_3
0,1,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,5,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_7
0,0,1,0,0,0,1,1,0,0,Class_9
0,2,2,0,2,0,2,0,1,1,Class_6
0,0,1,0,0,1,0,0,0,0,Class_5
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,5,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_2
0,1,8,1,0,1,6,1,0,0,Class_8
0,0,0,0,1,0,0,1,1,0,Class_6
0,0,0,0,4,0,0,4,1,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,4,0,0,0,0,0,Class_3
0,0,4,0,0,0,2,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,2,3,0,Class_6
0,0,1,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_6
